ref_area,sex,age_bracket,population,total_inactive_population,total_unemployed_population,total_employed_population,Total_empl0yed_IT_sector_agesex
RWA,SEX_F, 25-35,1131424.48,505950,144856,480617,706
RWA,SEX_M, 15-24,1241980.0,497276,142989,601714,2286
RWA,SEX_M, 15-24,1241980.0,729737,205299,306942,594
RWA,SEX_M, 25-35,1076488.32,324916,107132,644439,2786
RWA,SEX_F, 15-24,1261820.0,677244,170534,414040,815
RWA,SEX_F, 15-24,1261820.0,801293,227531,232995,465
RWA,SEX_F, 25-35,1124456.704,551107,134743,438605,860
RWA,SEX_M, 15-24,1204260.0,477368,137165,589726,2923
RWA,SEX_M, 15-24,1204260.0,703203,206277,294778,1290
RWA,SEX_M, 25-35,1063788.48,316413,102091,645283,3302
RWA,SEX_F, 15-24,1226540.0,643099,158493,424947,797
RWA,SEX_F, 15-24,1226540.0,781195,225916,219428,349
RWA,SEX_F, 25-35,1117488.928,526124,124365,466998,915
